OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;YEAR;COAST_DIST_M;NOTES
426;Spain;San Borondón;;238;Planned;;5579,290492; 
427;Spain;San Brandan;;490;Planned;;21519,80191; 
428;Spain;San Cibrao;;490;Planned;;20072,03874; 
429;Spain;Talasa;;50;Planned;;7332,08511; 
430;Spain;Tarahal;;225;Planned;;12448,62749; 
431;Spain;Timanfaya;;50;Planned;;2739,011945; 
432;Spain;Tramuntana Phase 1;;450;Planned;;15165,27781; 
433;Spain;Tramuntana Phase 2;;600;Planned;;16706,10099; 
434;Spain;Ventus Offshore;;600;Planned;;6848,22643; 
435;Spain;Volanteiro;;510;Planned;;32564,32763; 
436;Spain;WHEEL;;6;Planned;;11896,67207; 
437;Sweden;Anemone;;;Planned;;16577,95363; 
438;Sweden;Arkona Vindkraftpark;;1200;Planned;;31342,54741; 
439;Sweden;Aurora Offshore;;5500;Planned;;1756,814155; 
440;Sweden;Baltic Offshore Alpha;;1960;Planned;;44955,82982; 
441;Sweden;Baltic Offshore Beta;;3340;Planned;;34618,5021; 
442;Sweden;Baltic Offshore Delta;;5000;Planned;;49176,07162; 
443;Sweden;Baltic Offshore Epsilon;;3000;Planned;;43588,70163; 
444;Sweden;Blekinge Offshore AB;;1000;Planned;;8193,530806; 
445;Sweden;Bockstigen Offshore;5;2,75;Production;1998;2355,566195; 
446;Sweden;Dyning;;2000;Planned;;42149,62178; 
447;Sweden;Erik Segersäll Part 1;;2000;Planned;;48768,25999; 
448;Sweden;Erik Segersäll Part 2;;2000;Planned;;48768,25999; 
449;Sweden;Erik Segersäll Part 3;;2000;Planned;;48768,25999; 
450;Sweden;Eystrasalt;;4000;Planned;;70957,34128; 
451;Sweden;Fyrskeppet;;2000;Planned;;63187,18728; 
452;Sweden;Galatea-Galene;;1250;Planned;;23454,8007; 
453;Sweden;Gotland;;1500;Planned;;21925,46733; 
454;Sweden;Gretas Klackar;;;Planned;;13678,31724; 
455;Sweden;Gretas Klackar II;;;Planned;;13678,31724; 
456;Sweden;Heimdall;;2400;Planned;;29116,82604; 
457;Sweden;Herkules I;;1000;Planned;;79295,74089; 
458;Sweden;Herkules II;;1750;Planned;;63388,35454; 
459;Sweden;Karehamn;16;48;Production;2013;5343,596212; 
460;Sweden;Kattegatt Syd;;1200;Planned;;22000,3367; 
461;Sweden;Kriegers Flak II;128;640;Approved;;32450,02493; 
462;Sweden;Kultje;;2150;Planned;;30270,073; 
463;Sweden;Langgrund;;;Planned;;5268,066397; 
464;Sweden;Langgrund II;;;Planned;;8452,403247; 
465;Sweden;Lillgrund;15;34,5;Production;2007;7813,543454; 
466;Sweden;Lillgrund;21;48,3;Production;2007;7813,543454; 
467;Sweden;Lillgrund;12;27,6;Production;2007;7813,543454; 
468;Sweden;Mareld;;2300;Planned;;41519,33699; 
469;Sweden;Najaderna;;1000;Planned;;25022,45102; 
470;Sweden;Neptune;;2000;Planned;;16560,90464; 
471;Sweden;Njord;;;Planned;;1756,814155; 
472;Sweden;Nogersund;1;0,22;Dismantled;1990;269,1342877;2008
473;Sweden;Norra Klasgrunden;;;Planned;;2976,365199; 
474;Sweden;Olof Skötkonung;;1750;Planned;;29905,95843; 
475;Sweden;Polargrund;;1600;Planned;;18792,78371; 
476;Sweden;Poseidon Nord;;800;Planned;;28341,56953; 
477;Sweden;Poseidon Syd;;200;Planned;;23074,41712; 
478;Sweden;SeaTwirl 3MW;1;3;Dismantled;2011;3153,881745;2019
479;Sweden;Sjollengrundet;;300;Planned;;4773,589774; 
480;Sweden;Skane;;1500;Planned;;34108,3702; 
481;Sweden;Skidbladner;;2000;Planned;;38338,69639; 
482;Sweden;Södra Klasgrunden;;;Planned;;3699,636009; 
483;Sweden;Södra Victoria;;2000;Planned;;50066,5999; 
484;Sweden;Stenkalles grund;;100;Approved;;108448,7926; 
485;Sweden;Storgrundet;;1020;Planned;;9687,378715; 
486;Sweden;Sydkustens Vind;;500;Planned;;10537,19487; 
487;Sweden;Sylen;261;5000;Planned;;59167,41648; 
488;Sweden;Triton;;;Planned;;20011,89629; 
489;Sweden;Utgrunden I;7;10,5;Dismantled;2000;7765,087598;2018
490;Sweden;Utposten II;;;Planned;;10856,71597; 
491;Sweden;Vänern;7;21;Production;2009;113427,7349; 
492;Sweden;Vänern;3;9;Production;2009;113427,7349; 
493;Sweden;Västvind;;1000;Planned;;19395,20211; 
494;Sweden;Vidar;;1400;Planned;;31072,16277; 
495;Sweden;Yttre Stengrund 1;1;2;Dismantled;2001;3246,738742;2015
496;Sweden;Yttre Stengrund 2-3-4;3;6;Dismantled;2001;3246,738742;2015
497;Sweden;Yttre Stengrund 5;1;2;Dismantled;2001;3246,738742;2015
498;United Kingdom;Aspen;;1500;Planned;;62514,20181; 
499;United Kingdom;Aurora (GB);;1000;Planned;;26589,32575; 
500;United Kingdom;Avalon;;1500;Planned;;107727,6059; 
501;United Kingdom;Beatrice Demonstration;2;10;Dismantled;2007;25483,24526;2016
502;United Kingdom;Beech North;;1500;Planned;;143381,4843; 
503;United Kingdom;Beech South;;1500;Planned;;211714,8314; 
504;United Kingdom;Blyth Offshore;5;41,5;Production;2017;8416,184226; 
505;United Kingdom;Blyth Offshore - 3A-4;10;58,4;Approved;;9522,396471; 
506;United Kingdom;Celtic Deep Phase 1;;98;Planned;;24513,94506; 
507;United Kingdom;Celtic Deep Phase 2;;300;Planned;;20474,56415; 
508;United Kingdom;Celtic Sea;;400;Planned;;24148,22122; 
509;United Kingdom;Celtic Sea RWE;;400;Planned;;7131,382152; 
510;United Kingdom;Celtic Sea RWE - Phase 2;;1000;Planned;;7006,097501; 
511;United Kingdom;Cenos;;1500;Planned;;136577,1972; 
512;United Kingdom;Central North Sea Electrification;;250;Planned;;228547,9255; 
513;United Kingdom;Dogger Bank D;;1320;Planned;;221542,2435; 
514;United Kingdom;Dolphyn (commercial);;300;Planned;;24726,4026; 
515;United Kingdom;Dolphyn (full scale);;2000;Planned;;23149,11574; 
516;United Kingdom;Dolphyn (precommercial);;10;Planned;;16774,37424; 
517;United Kingdom;Draig Y Môr;;100;Planned;;11892,96284; 
518;United Kingdom;Dylan;;300;Planned;;24726,4026; 
519;United Kingdom;Dylan Extension;;1000;Planned;;76186,69301; 
520;United Kingdom;East Anglia Two;;900;Approved;;51624,27678; 
521;United Kingdom;EOWDC;9;75,6;Production;2018;3440,148274; 
522;United Kingdom;EOWDC;2;17,6;Production;2018;3440,148274; 
523;United Kingdom;Erebus (Commercial);;600;Planned;;41129,02832; 
524;United Kingdom;Fife Energy Park;1;7;Production;2014;380,3292051; 
525;United Kingdom;Forthwind Offshore Wind Demonstration Project - 1;2;12;Planned;;1994,279213; 
526;United Kingdom;Forthwind Offshore Wind Demonstration Project - 2;7;53;Planned;;3147,548098; 
527;United Kingdom;Greater Gabbard 1;80;288;Production;2012;44503,99322; 
528;United Kingdom;Greater Gabbard 2;60;216;Production;2012;44503,99322; 
529;United Kingdom;Greater Gabbard Extension;;504;Planned;;44503,99322; 
530;United Kingdom;Green Volt;;480;Planned;;76972,36982; 
531;United Kingdom;Gunfleet Sands 3 Demonstration;2;12;Production;2013;9315,445232; 
532;United Kingdom;Gwynt Glas;;1000;Planned;;64339,14558; 
533;United Kingdom;Hornsea Project One - Heron Wind;87;609;Production;2020;112580,2234; 
534;United Kingdom;Hornsea Project Two - Breesea and Optimus Wind;165;1386;Production;2022;99070,46678; 
535;United Kingdom;Kentish Flats 2;15;49,5;Production;2015;8722,301683; 
536;United Kingdom;Kincardine Offshore Windfarm Part 1;1;2;Production;2021;16069,68369; 
537;United Kingdom;Kincardine Offshore Windfarm Part 2;5;47,5;Production;2021;16418,74297; 
538;United Kingdom;Llyr 1;;100;Planned;;41039,12644; 
539;United Kingdom;Llyr 2;;100;Planned;;34555,94393; 
540;United Kingdom;Llywelyn;;300;Planned;;74172,56346; 
541;United Kingdom;Merlin;;300;Planned;;19856,37749; 
542;United Kingdom;Merlin 2;;1500;Planned;;19294,93801; 
543;United Kingdom;Morwind;;300;Planned;;20544,68851; 
544;United Kingdom;Myrddin;;1000;Planned;;111617,4026; 
545;United Kingdom;Neos;;25;Planned;;208004,4262; 
546;United Kingdom;Nomadic Offshore Wind;;400;Planned;;10269,30577; 
547;United Kingdom;Nomadic Offshore Wind INTOG;;100;Planned;;83494,8581; 
548;United Kingdom;Norfolk Vanguard;225;1800;Approved;;67436,61348; 
549;United Kingdom;North Channel Wind 1;;300;Planned;;10570,33304; 
550;United Kingdom;North Channel Wind 2;;100;Planned;;12367,91921; 
551;United Kingdom;Northland Power N2;;1500;Planned;;32824,15344; 
552;United Kingdom;Northland Power N4;;840;Planned;;9659,710528; 
553;United Kingdom;Olympic Wind (GB);;1300;Planned;;2638,989498; 
554;United Kingdom;Orcadian Microgrid;;105;Planned;;94125,83688; 
555;United Kingdom;Ossian;;3600;Planned;;81610,77091; 
556;United Kingdom;Pembrokeshire Demonstration Zone;;180;Planned;;17523,23115; 
557;United Kingdom;Pentland;;100;Approved;;9009,095726; 
558;United Kingdom;Petroc;;300;Planned;;53405,14859; 
559;United Kingdom;Race Bank;45;283,5;Production;2018;32695,29597; 
560;United Kingdom;Race Bank Extension;;573;Planned;;32695,29597; 
561;United Kingdom;Robin Rigg;30;90;Production;2010;10475,48206; 
562;United Kingdom;Robin Rigg;28;84;Production;2010;10475,48206; 
563;United Kingdom;Salamander;;200;Planned;;43137,60052; 
564;United Kingdom;Seagreen;114;1075;Construction;;36888,66336; 
565;United Kingdom;SENSEWind Demonstrator;;2;Planned;;2899,168242; 
566;United Kingdom;Shearwater One;;3000;Planned;;24266,71724; 
567;United Kingdom;Shetland NE1 ESB;;500;Planned;;38878,26576; 
568;United Kingdom;Triton Knoll Wind Farm Part 1;30;285;Production;2022;40821,09308; 
569;United Kingdom;Triton Knoll Wind Farm Part 2;30;285;Production;2022;40821,09308; 
570;United Kingdom;Triton Knoll Wind Farm Part 3;30;285;Production;2022;40821,09308; 
571;United Kingdom;Trivane Demonstrator;;1;Planned;;2287,98316; 
572;United Kingdom;Valorous Erebus (precommercial);;300;Planned;;47318,6796; 
573;United Kingdom;Walney Phase 1;51;183,6;Production;2011;26837,11095; 
574;United Kingdom;Walney Phase 2;51;183,6;Production;2012;22145,10364; 
575;United Kingdom;Walney Extension;47;329;Production;2018;29167,66707; 
576;United Kingdom;Walney Extension;40;330;Production;2018;29167,66707; 
577;United Kingdom;Whirlwind Offshore;;300;Planned;;144466,2003; 
578;United Kingdom;Whitecross;;100;Planned;;31697,64223; 
579;Estonia;Saare West;;1000;Planned;;36846,35368; 
580;Finland;Röyttä III;14;70;Planned;;1145,286066; 
581;Greece;DWI Peloponese;;86,4;Planned;;8669,292683; 
582;Italy;Avventura;;228;Planned;;44012,73675; 
583;Italy;BRN Brindisi;;504;Planned;;25025,64988; 
584;Italy;Crotone;;495;Planned;;66091,51578; 
585;Italy;Hope;;600;Planned;;22641,57163; 
586;Italy;Linosa;;1020;Planned;;23597,3379; 
587;Italy;Sea Wind Italia;;292;Planned;;21813,08611; 
588;Italy;Tavole;;555;Planned;;25216,52152; 
589;Italy;Torres;;480;Planned;;38609,67518; 
590;Portugal;WindFloat Atlantic 2;30;125;Planned;;22863,79357; 
591;United Kingdom;EMEC test site Phase 1;;7;Test site;;2836,646703; 
592;United Kingdom;EMEC test site Phase 2;;230;Test site;;2836,646703; 
593;United Kingdom;EMEC test site Phase 3;;230;Test site;;2836,646703; 
594;Germany;Global Tech II;;486;Planned;;81265,81487; 
595;United Kingdom;Floating Energy Allyance NE8;;960;Planned;;91724,39643; 
596;United Kingdom;SSE Renewables-Marubeni-CIP;;2610;Planned;;111841,6574; 
