OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;YEAR;COAST_DIST_M;AREA_SQKM;NOTES;Shape_Length;Shape_Area
32;Denmark;Jammerbugt;;;Planned;;19922,75591;162,2304015; ;1,199551538;0,02422068
33;Denmark;Krigers Flak Nord;;;Planned;;15010,56236;98,08013717; ;0,570941879;0,013819807
34;Denmark;Kattegat I;;;Planned;;15019,33592;914,1376362; ;2,067095608;0,134727187
35;Denmark;Kattegat II;;;Planned;;14997,41804;122,0391419; ;0,837776047;0,017732582
36;Denmark;Nordsren III vest;;;Planned;;109379,6883;4484,323143; ;4,609766598;0,648767079
37;Denmark;Vesterhav Nord;20;160;Approved;;3994,347038;58,39284738; ;0,449470812;0,008542773
38;Denmark;Bornholm I;;;Planned;;5278,915471;422,0729934; ;1,426312203;0,059225466
39;Denmark;Bornholm III;;;Planned;;41701,4416;61,09073468; ;0,632983291;0,008487486
40;Denmark;Nordsren II;;;Planned;;49194,17295;1872,94141; ;2,71549342;0,271655864
41;Denmark;Bornholm I;;;Planned;;5000,55138;71,20235897; ;0,422362478;0,010035933
42;Denmark;Jyske Banke;;;Planned;;43772,74317;802,712231; ;3,04486904;0,118727833
43;Denmark;Krigers Flak Syd;;;Planned;;14997,87344;75,25241159; ;0,722000024;0,010536173
44;Denmark;Nordsren III;;;Planned;;73863,31626;1642,587692; ;2,30798522;0,24007788
45;Denmark;Thor - 2020 Tender;;1000;Planned;;19876,53953;440,2826455; ;1,232791943;0,063930034
46;Denmark;Hesselk;;;Planned;;19402,92127;246,8517335; ;0,917985426;0,035948583
47;Denmark;Bornholm;;100;Planned;;5448,413883;34,70536312; ;0,351234713;0,004871085
48;Denmark;Nordsren I;;;Planned;;19964,41933;3176,148975; ;3,229937941;0,457433147
49;Denmark;Samsa;10;23;Production;2003;3456,959776;0,882530631; ;0,060560869;0,000126145
50;Denmark;Horns Rev I;80;160;Production;2002;13863,4889;19,62375161; ;0,231339312;0,002788168
51;Denmark;Anholt;111;399,6;Production;2012;15488,51829;90,47530651; ;0,578813729;0,013228267
52;Denmark;Middelgrunden;20;40;Production;2000;1137,778152;1,112638454; ;0,075018057;0,000158907
53;Denmark;Frederikshavn Offshore;3;7,6;Production;2003;0;0,241544184; ;0,027362975;3,61199E-05
54;Denmark;Nissum Bredning;4;28;Production;2018;552,0970642;1,033174763; ;0,053087284;0,000151339
55;Denmark;Horns Rev II;91;209,3;Production;2009;28725,07362;31,37792024; ;0,288064125;0,004471047
56;Denmark;Renland;8;17;Production;2003;89,43778977;0,670548603; ;0,051260115;9,81987E-05
57;Denmark;Kriegers Flak;72;605;Production;2021;13553,54873;173,145563; ;1,0780072;0,024317991
58;Denmark;Nysted;72;165,6;Production;2003;4268,795448;23,04548425; ;0,255023219;0,003199364
59;Denmark;Sprogo;7;21;Production;2009;517,2080493;0,880490673; ;0,095585779;0,000124655
60;Denmark;Tunm Knob;10;5;Production;1995;2887,190693;0,320264455; ;0,027235085;4,60648E-05
61;Denmark;Avedøre Holme;3;10,8;Production;2011;0;0,341857041; ;0,040488511;4,87139E-05
62;Denmark;Horns Rev III;49;407;Production;2019;22454,02963;90,30657923; ;0,5267831;0,012898481
63;Denmark;Rodsand II;90;207;Production;2010;1583,234311;31,72539083; ;0,365909422;0,004404961
64;Denmark;Nordre Flint;;160;Planned;;2596,116178;17,62527643; ;0,254648105;0,002514387
65;Denmark;Kadetbanke;;864;Planned;;12052,1015;71,60542634; ;0,662550964;0,010004349
66;Denmark;Frederikshavn Offshore Demo;;72;Planned;;999,2954301;5,734702985; ;0,13607988;0,000857461
67;Denmark;Aflandshage;;250;Planned;;7991,035651;43,31161163; ;0,364064093;0,006146037
68;Denmark;Lillebklt Syd;;160;Planned;;2315,854062;37,31277706; ;0,331072951;0,005263062
69;Denmark;NW Grund;;;Planned;;1145,646782;1,648079256; ;0,066666666;0,000233333
70;Denmark;Mejl Flak;;120;Planned;;2440,389446;56,00040932; ;0,422165477;0,00806153
71;Denmark;Trem Mkllebugt;;720;Planned;;19223,28151;52,21836823; ;0,438773727;0,007670809
72;Denmark;Lillebklt Syd;;160;Planned;;1627,686451;54,21404402; ;0,390798343;0,007630334
73;Denmark;Omo Syd;;320;Planned;;5719,421582;24,54101673; ;0,252342252;0,003447895
74;Denmark;Paludan Flak;;228;Planned;;2976,848635;14,24572316; ;0,180912689;0,002035876
75;Denmark;Jammerland Bugt;;240;Planned;;6009,065621;31,13593186; ;0,35098993;0,004433319
76;Latvia;E4;;;Planned;2019;11521,98988;607,6615612; ;1,494376379;0,090097582
77;Latvia;E1;;;Planned;2019;38190,59605;407,6059215; ;1,295938223;0,058827932
78;Latvia;E2;;;Planned;2019;18195,57531;100,5303342; ;0,532343436;0,014518152
79;Latvia;E3;;;Planned;2019;10923,95598;348,9564884; ;1,041587017;0,051403576
80;Latvia;E5;;;Planned;2019;11674,08976;183,7784736; ;0,849899477;0,027790862
81;Netherlands;IJmuiden Ver;;4000;Planned;;49466,89814;1172,060155; ;1,985665552;0,156443409
82;Netherlands;Hollandse Kust D;;;Planned;;51467,16091;349,097588; ;1,165577346;0,046245797
83;Netherlands;Hollandse Kust E;;;Planned;;25149,64135;189,5768869; ;0,875355475;0,025298803
84;Netherlands;Hollandse Kust (West);;1400;Planned;;33940,28853;217,3353458; ;0,69338512;0,028639056
85;Netherlands;"Hollandse Kust F
";;;Planned;;49025,26367;30,40667249; ;0,314013985;0,003990372
86;Netherlands;Borssele Kavel V;2;19;Production;2020;34823,96128;0,589997719; ;0,044064499;7,67161E-05
87;Netherlands;HKZ Kavel IV;70;700;Construction;;18604,03447;90,19601863; ;0,583604675;0,011890362
88;Netherlands;HKZ Kavel III;70;700;Construction;;18625,92989;53,80671284; ;0,380663612;0,007076501
89;Netherlands;HKZ Kavel II;70;700;Construction;;23510,24223;47,77877029; ;0,332869131;0,006293311
90;Netherlands;HKZ Kavel I;70;700;Construction;;22358,89874;67,25992235; ;0,571905973;0,008877361
91;Netherlands;HKN Kavel V;;;Approved;;18675,27755;126,4368697; ;0,6408477;0,016808668
92;United Kingdom;NE1;;;Planned;2021;22486,0881;751,0922568; ;1,793373777;0,121891026
93;United Kingdom;Cluaran Deas Ear;;1008;Planned;;38410,92089;187,0845835; ;0,891787478;0,027625745
94;United Kingdom;Cluaran Ear-Thuath;;1008;Planned;;17230,85048;199,736877; ;1,383145751;0,031073324
95;United Kingdom;Northland Sheena TBC;;840;Planned;;3564,138721;161,4163974; ;0,832381653;0,024771895
96;United Kingdom;Northland Mhairi TBC;;1500;Planned;;26071,16533;389,607454; ;1,407979383;0,060663484
97;France;Courseulles-sur-mer;64;450;Construction;;9738,538433;67,17983116; ;0,455593496;0,008334208
98;France;Fécamp;83;498;Construction;;11246,60156;87,95717645; ;0,481986977;0,011005486
99;France;Dieppe Le Tréport;62;496;Approved;;14709,25063;109,3685241; ;0,533810082;0,013757328
100;France;Centre-Manche 1;;1000;Planned;;33174,15429;182,2972084; ;0,685412706;0,022801611
101;France;Sud de la Bretagne;;250;Planned;;15251,9703;130,4556915; ;0,657884249;0,015527095
102;France;Dunkerque;;598;Planned;;8853,415603;72,39421322; ;0,538630939;0,009300831
103;France;Faraman-Port-Saint-Louis-du-Rhône;;25;Test site;;14408,58531;0,782283733; ;0,05961393;8,6625E-05
104;France;Gruissan;;30;Construction;;17737,43265;5,554323047; ;0,10716266;0,000613364
105;France;Leucate-Le Barcarès;;30;Test site;;14862,23565;5,112857991; ;0,100987869;0,000563063
106;France;Saint-Brieuc;62;496;Construction;;15680,28292;102,5879541; ;0,462596818;0,012569446
107;France;Méditerranée;;250;Planned;;22157,73491;295,7544623; ;0,840206001;0,032666851
108;France;Méditerranée;;250;Planned;;22124,98157;311,8503566; ;0,792015676;0,034470432
109;France;Méditerranée;;250;Planned;;23342,21251;363,4004982; ;0,825360355;0,039946503
110;France;Sud Atlantique;;1000;Planned;;37152,7577;180,0886417; ;0,639984428;0,020851389
111;France;Sud Atlantique;;1000;Planned;;47167,93129;252,4794708; ;0,707099259;0,029217451
112;France;Centre-Manche 2;;1500;Planned;;37137,21958;268,9842872; ;0,859759942;0,033619632
113;France;Saint-Nazaire;80;480;Construction;2022;11306,47669;78,10863615; ;0,510723882;0,009266389
114;France;Iles d'Yeu et de Noirmoutier;62;496;Approved;;11671,53209;111,8839823; ;0,490030748;0,0132
115;France;Groix et Belle-Île;3;28;Test site;;11210,1057;14,38312654; ;0,178934671;0,001716659
116;Ireland;Arklow Bank Phase 2;100;1000;Planned;;5830,075737;82,44795952; ;0,593896356;0,010981423
117;Ireland;Kilmichael Point;;500;Planned;;4789,586558;428,3008272; ;1,272068931;0,056873816
118;Ireland;Codling Wind Park Extension;;;Planned;;11456,1499;54,30955678; ;0,362132575;0,007273957
119;Ireland;Codling Wind Park;;1500;Planned;;12806,45701;64,00508867; ;0,385607394;0,0085872
120;Ireland;Dublin Array;;1000;Planned;;8181,420129;62,58562585; ;0,461004326;0,008421407
121;Ireland;Oriel Wind Farm;55;330;Planned;;5117,578469;25,12584457; ;0,219503591;0,003435683
122;Ireland;Clogher Head;;500;Planned;;4890,95283;124,839947; ;0,571918741;0,017029128
123;Ireland;North Irish Sea Array (NISA);;530;Planned;;1913,65291;372,5568344; ;1,175869102;0,050741853
124;Ireland;Sceirde (Skerd) Rocks;;400;Planned;;2688,570897;29,39969737; ;0,26460181;0,003959246
125;Ireland;Arklow Bank Phase 1;7;25,2;Production;2003;9482,272914;3,490393757; ;0,0934703;0,000464854
126;Ireland;North Celtic Sea;;1000;Planned;;2636,321743;819,5680189; ;1,857592742;0,107317356
127;Ireland;AFLOWT;;;Planned;;1958,768373;0,237008838; ;0,022881408;3,26525E-05
128;Ireland;Braymore Point;;800;Planned;;6818,138417;203,3357136; ;0,788103737;0,027714016
129;Ireland;Cooley Point;;;Planned;;5170,078689;182,3025205; ;0,90658989;0,024887653
130;Ireland;Floating Power Plant - Ireland;;;Planned;;2607,866307;1,95066317; ;0,061799104;0,000264844
131;Ireland;Inis Ealga FOW;;1000;Planned;;7253,790574;272,0726636; ;1,860238985;0,035398029
132;Ireland;South Irish Sea Project;;1330;Planned;;11636,74428;418,5790966; ;1,244544831;0,055478817
133;Ireland;Inis Ealge Marine Energy Park - DP Ireland;;;Planned;;0;1009,408557; ;3,307099861;0,13144137
134;Ireland;Emerald Project - Simply Blue Energy;;;Planned;;0;825,1711873; ;1,716210234;0,107323729
135;Lithuania;Lithuania's first offshore wind farm in the Baltic Sea (Lithuanian Tender 1 & 2);;700;Planned;2028;26336,40078;642,4845828; ;1,226398665;0,092236774
136;Belgium;Northwind;72;216;Production;2014;33657,53494;8,741341588; ;0,195543069;0,001134299
137;Belgium;Belwind phase 1;55;165;Production;2010;40610,6845;14,74074503; ;0,208409758;0,001915003
138;Belgium;Rentel;42;309;Production;2018;28354,72882;23,26581643; ;0,260649084;0,003017221
139;Belgium;Norther;44;369,6;Production;2018;19797,75862;38,44205019; ;0,352805069;0,004979139
140;Belgium;SeaStar;30;252;Production;2020;36085,9539;18,42585894; ;0,222749003;0,002391994
141;Belgium;Mermaid;28;235,2;Production;2020;48314,54938;16,67656268; ;0,208196391;0,002168813
142;Belgium;Northwester 2;23;218,5;Production;2020;44480,72733;11,72932499; ;0,176358331;0,001524816
143;Spain;Motriku;16;0,3;Production;;280,0696403;2,70854E-06; ;6,15302E-05;3,00513E-10
144;United Kingdom;Dogger Bank - Teesside A;;;Approved;;195786,1194;560,5565092; ;1,313385854;0,078707875
145;United Kingdom;Creyke Beck A Wind Farm;;1200;Approved;;130997,9012;515,5550642; ;1,340457515;0,071921815
146;United Kingdom;Creyke Beck B Wind Farm;;1200;Approved;;130974,6431;599,2832115; ;1,189022457;0,084106075
147;United Kingdom;Erebus;;96;Approved;;30230,62346;43,56535535; ;0,302815098;0,00563346
148;United Kingdom;Fair Head;;100;Planned;;842,6875197;3,336242282; ;0,120344684;0,000471022
149;United Kingdom;Torr Head;50;100;Approved;;213,44044;6,797721024; ;0,133269781;0,000959055
150;United Kingdom;Holyhead Deep;20;10;Approved;;4897,759537;9,176442558; ;0,147027635;0,001237045
151;United Kingdom;Ramsey Sound;1;0,4;Dismantled;;193,1997554;0,597384004; ;0,048207408;7,79645E-05
152;United Kingdom;Strangford Lough;;0,3;Production;;246,580179;0,075008881; ;0,020670223;1,0372E-05
153;United Kingdom;West Anglesey Demonstration Zone;;;Planned;;523,2546051;35,04359165; ;0,30253221;0,004722067
154;United Kingdom;Bardsey Sound;;;Approved;;430,1014431;3,336338456; ;0,090092094;0,000444288
155;United Kingdom;Holyhead Deep 0.5MW Site;;1,2;Approved;;5543,874152;1,500253299; ;0,061247178;0,000202171
156;United Kingdom;Perpetuus Tidal Energy Centre (PTEC);1;30;Approved;;2300,769949;5,017489002; ;0,175681043;0,000636504
157;United Kingdom;META Phase 2 - East Pickard Bay;;;Production;;346,3893493;0,959260634; ;0,071712897;0,000124609
158;United Kingdom;META Phase 2 - Dale Roads;;;Production;;178,0422987;0,195617927; ;0,021117916;2,54373E-05
159;United Kingdom;META Phase 2 - Warrior Way;;;Production;;750,6907767;0,091529064; ;0,018649533;1,18997E-05
160;United Kingdom;FabTest, Falmouth Bay;;3;Test site;;2263,21624;2,8495712; ;0,080485105;0,000358134
161;United Kingdom;South Pembrokeshire Demonstration Zone;;;Planned;;17560,91149;89,46764183; ;0,700041411;0,011561224
162;United Kingdom;EMEC Bilia Croo;;;Production;;0;7,418760784; ;0,195311221;0,00115806
163;United Kingdom;EMEC Fall of Wareness;;;Production;;0;9,10584944; ;0,222783724;0,001428254
164;United Kingdom;Sound of Islay;10;10;Approved;;210,9583518;0,351767068; ;0,035726084;5,043E-05
165;United Kingdom;Isle of Islay;30;30;Approved;;4575,944364;2,279571684; ;0,10914029;0,000325292
166;United Kingdom;Mull of Kintyre;7;2,5;Approved;;131,0837155;25,73176416; ;0,275796081;0,003640231
167;United Kingdom;Seagreen Bravo Wind Farm;;2300;Planned;;38163,69209;193,8394176; ;1,016814192;0,028290402
168;United Kingdom;Seagreen Alpha Wind Farm;;1075;Approved;;26830,85107;197,3569163; ;0,944442524;0,028902935
169;United Kingdom;EMEC Scapa Flow;;;Production;;293,2471137;1,391869023; ;0,059341573;0,000216728
170;United Kingdom;EMEC Shapinsay Sound;;;Production;;533,9700787;1,409689503; ;0,070423775;0,000220191
171;United Kingdom;Lashy Sound;15;10;Approved;;221,2733314;4,193958077; ;0,133248794;0,000659234
172;United Kingdom;Inner Sound;4;398;Production;;396,0986129;3,275335104; ;0,180031677;0,000506613
173;United Kingdom;Mingary;;;Planned;;24,7718883;0,721219235; ;0,056733633;0,000105702
174;United Kingdom;Bluemull Sound;1;0,3;Production;;175,0518637;0,077876093; ;0,015168753;1,27968E-05
175;United Kingdom;Connel (PLAT-I);;0,28;Production;;72,7126305;0,035524518; ;0,00985818;5,17435E-06
176;United Kingdom;"Berwick and Marr Bank Wind Farm
";;3200;Planned;;43430,24547;655,023683; ;1,424428777;0,09499895
177;United Kingdom;Oran na Mara;;3;Planned;;254,7615163;0,640926753; ;0,0434465;9,19498E-05
178;Germany;N-3.5;;420;Planned;;33834,94844;28,85313892; ;0,343660603;0,003954558
179;Germany;N-3.6;;480;Planned;;37107,58109;33,16131926; ;0,276693055;0,004548281
180;Germany;N-3.7;;225;Planned;;33852,27119;17,32194372; ;0,209527997;0,002375807
181;Germany;N-3.8;;433;Planned;;37025,78393;23,21226685; ;0,436075008;0,003187882
182;Germany;N-6.6;;630;Planned;;83701,82594;43,66671718; ;0,456639641;0,0060218
183;Germany;N-6.7;;270;Planned;;94060,48051;15,90600076; ;0,666858875;0,002189302
184;Germany;N-7.2;;930;Planned;;75915,23303;58,34864114; ;0,914219164;0,008053506
185;Germany;N-9.1;;1000;Planned;;98842,04001;99,72980207; ;0,636619608;0,013823739
186;Germany;N-9.2;;1000;Planned;;108016,6049;104,2263995; ;0,531803892;0,014458309
187;Germany;N-9.3;;1000;Planned;;99692,90624;104,6841214; ;0,517259474;0,014492788
188;Germany;N-9.4;;1000;Planned;;112838,4964;98,83533509; ;0,504253892;0,013719175
189;Germany;N-10.1;;1000;Planned;;109485,1318;94,64469466; ;0,542856632;0,013159737
190;Germany;N-10.2;;1000;Planned;;119317,8401;92,68257223; ;0,602469771;0,012899622
191;Germany;Gode Wind 3;23;242;Approved;;32012,98531;17,5392744; ;0,286228051;0,002404465
192;Germany;Borkum Riffgrund 3;83;913;Approved;;53109,21308;75,40831307; ;0,499583664;0,010344831
193;Germany;Dan Tysk;79;298,62;Production;2014;66391,19027;64,55455567; ;0,455414298;0,009089113
194;Germany;Borkum Riffgrund 1;78;312;Production;2015;34866,1275;35,6605158; ;0,310732006;0,004881938
195;Germany;Nordergründe;18;110,7;Production;2017;8976,952486;3,421935923; ;0,086957907;0,000467014
196;Germany;Trianel Windpark Borkum Phase 1;40;200;Production;2015;45030,04344;22,59770122; ;0,325334017;0,003099406
197;Germany;Trianel Windpark Borkum Phase 2;32;203,2;Production;2020;46687,58006;30,63620172; ;0,392807105;0,004202351
198;Germany;Meerwind Sued/Ost;80;288;Production;2015;23090,0556;39,78335545; ;0,348016329;0,00550192
199;Germany;Alpha Ventus;12;62;Production;2009;40516,41895;3,994279138; ;0,097692956;0,000547384
200;Germany;Amrumbank West;80;302,4;Production;2015;36102,7263;30,18512183; ;0,339512926;0,004186498
201;Germany;Nordsee Ost;48;295,2;Production;2015;28066,85694;35,36134827; ;0,300995704;0,004896882
202;Germany;Butendiek;80;288;Production;2015;32508,57761;31,4371937; ;0,268245989;0,00441476
203;Germany;Global Tech I;80;400;Production;2015;93778,15038;39,91736608; ;0,305038614;0,00553592
204;Germany;EnBW Hohe See;71;497;Production;2019;86883,521;40,50052428; ;0,327257971;0,005611061
205;Germany;Sandbank;72;288;Production;2017;83256,01321;47,56678906; ;0,524882196;0,006710075
206;Germany;Gode Wind 01;55;344,52;Production;2016;31682,6764;40,14995025; ;0,344961151;0,0055026
207;Germany;EnBW He Dreiht;64;960;Approved;;82993,64748;62,60281139; ;0,457788451;0,008652492
208;Germany;Riffgat;30;113,4;Production;2014;14365,95122;5,990609349; ;0,170935298;0,000814803
209;Germany;Bard Offshore 1;80;400;Production;2013;89534,44651;56,78532422; ;0,364042142;0,00784609
210;Germany;Deutsche Bucht;31;252;Production;2019;89301,28377;17,07432907; ;0,213286756;0,002356188
211;Germany;Merkur Offshore (MEG Offshore I);63;378;Production;2019;42610,10458;39,19698187; ;0,342277644;0,005375217
212;Germany;Nordsee One;54;332,1;Production;2017;32980,21384;28,19928169; ;0,361570185;0,003861602
213;Germany;Borkum Riffgrund 2;56;465,4;Production;2018;34553,63631;35,75574025; ;0,494768615;0,004894193
214;Germany;Kaskasi II;38;342;Approved;;33489,05716;17,38992783; ;0,257886591;0,002411219
215;Germany;Gode Wind 02;42;263,1;Production;2016;37641,82025;29,15839441; ;0,317340237;0,004001361
216;Germany;Veja Mate;67;402;Production;2017;87648,00255;50,64887455; ;0,393481447;0,006992469
217;Germany;Albatros;16;112;Production;2020;97860,50637;10,53121688; ;0,204627161;0,001460077
218;Netherlands;OWF Prinses Amalia;60;120;Production;2008;23327,0834;16,72455668; ;0,196014018;0,002217646
219;Netherlands;OWF Egmond aan Zee;36;108;Production;2006;10065,16014;26,73838853; ;0,288690657;0,00354782
220;Netherlands;OWF Luchterduinen;43;129;Production;2015;22340,70219;15,90387943; ;0,210316646;0,002099943
221;Netherlands;OWF Borssele I;43;350;Production;;27336,44703;64,8612001; ;0,405172288;0,008439471
222;Netherlands;OWF Borssele II;43;351;Production;;24230,41162;63,52779273; ;0,355817183;0,008247041
223;Netherlands;OWF Borssele III;43;352;Production;;29530,46426;71,46401441; ;0,437242738;0,009287471
224;Netherlands;OWF Borssele IV;43;353;Production;;40217,61262;74,6983801; ;0,554258459;0,009711931
225;Spain;Biscay Marine Energy Park (BIMEP);4;20;Production;2015;1715,653133;5,273609923; ;0,097605445;0,000586571
226;France;Les deux oles;62;496;Approved;;11717,88346;111,8968655; ;0,490053872;0,013201682
227;Belgium;C-Power (Zone A);24;141,15;Production;2013;24793,53692;10,68241237; ;0,174693787;0,001383824
228;Belgium;C-Power (Zone B);30;184,5;Production;2013;25036,11712;9,169185741; ;0,167815236;0,001188486
229;Belgium;Belwind phase 2 (Nobelwind) (Zone 2);50;165;Production;2017;39176,94958;13,82330721; ;0,204921732;0,001795656
230;Belgium;Belwind phase 2 (Nobelwind) (Zone 1);50;165;Production;2017;42583,68075;6,325034111; ;0,167287348;0,000821857
231;Germany;Borkum Riffgrund West;83;913;Approved;;53252,31713;29,70008595; ;0,29389035;0,004073706
232;Germany;OWP West;41;240;Approved;;53770,33771;14,064163; ;0,344820589;0,001930159
233;Germany;Borkum Riffgrund West II;34;240;Approved;;58958,36446;12,82540492; ;0,199286623;0,001759369
234;Germany;Borkum Riffgrund West II;9;54;Planned;;57778,34816;3,011535895; ;0,154166717;0,000413461
235;United Kingdom;MacColl;33;313,5;Production;2022;28453,79598;124,7260409; ;0,830966456;0,019017911
236;United Kingdom;SeaGreen Alpha;75;525;Approved;;26830,85107;197,3569163; ;0,944442524;0,028902935
237;United Kingdom;SeaGreen Bravo;75;525;Approved;;38163,69209;193,8394176; ;1,016814192;0,028290402
238;United Kingdom;Stevenson;34;323;Production;2022;22309,59509;77,4474449; ;0,482716635;0,011820609
239;United Kingdom;Strangford Lough Minesto;1;1,2;Dismantled;;246,580179;0,075008881; ;0,020670223;1,0372E-05
240;United Kingdom;Telford;33;313,5;Production;2022;22332,96502;93,39924004; ;0,535976935;0,014276044
241;United Kingdom;TwinHub;;40;Approved;;15166,74675;7,961054477; ;0,128784202;0,001005847
242;United Kingdom;Dounreay Tri Wind Farm;2;10;Approved;;9164,884954;6,256196284; ;0,131111342;0,000967769
243;United Kingdom;SeaGreen Charlie Wind Farm;;2300;Planned;;43430,24541;655,0236831; ;1,42442878;0,09499895
244;United Kingdom;Hornsea Met Mast;1;;Production;;115663,8593;0,031374929; ;0,00772405;4,28695E-06
245;United Kingdom;Hornsea Project 1 (Heron East) Wind Farm;58;406;Production;2020;111374,2468;130,699713; ;0,656606183;0,017848494
246;United Kingdom;Hornsea Project 1 (Heron West) Wind Farm;58;406;Production;2020;102222,267;118,5422558; ;0,598809333;0,016201032
247;United Kingdom;Hornsea Project 1 (Njord) Wind Farm;87;609;Production;2020;105672,6212;158,335567; ;0,754178827;0,021635833
248;United Kingdom;Norfolk Vanguard Wind Farm;225;1800;Approved;;47493,02202;592,5331966; ;1,700462104;0,079048799
249;United Kingdom;East Anglia North Tranche 2 (Norfolk Boreas);90;1800;Approved;;73178,95654;725,3751259; ;1,278801575;0,09717146
250;United Kingdom;East Anglia North Tranche One East  (Norfolk Vanguard East);90;1800;Planned;;69902,5636;297,3740964; ;0,876324927;0,03963534
251;United Kingdom;East Anglia North Tranche One West (Norfolk Vanguard West);90;1800;Planned;;47493,02143;295,1590987; ;0,824137175;0,039413459
252;France;Parc eolien pose au large de la Normadie (AO4);;1000;Planned;2020;32637,2251;496,526101; ;1,445377382;0,062069555
253;Netherlands;Borssele;;1502,5;Planned;;24230,41162;344,9451564; ;0,926652563;0,044840233
254;Netherlands;Hollandse Kust (Zuid);140;1540;Construction;;18567,76981;352,3661213; ;0,935381375;0,046440883
255;Netherlands;Ten Noorden van de Wadden;;700;Planned;;56043,86009;217,6788741; ;1,786751921;0,029756638
256;Netherlands;Borssele Kavel II;47;376;Production;2020;24230,41162;63,52779273; ;0,355817183;0,008247041
257;Netherlands;Borssele Kavel III;37;351,5;Production;2020;29530,46426;71,46401441; ;0,437242738;0,009287471
258;Netherlands;Borssele Kavel IV;40;380;Production;2020;40217,61262;74,6983801; ;0,554258459;0,009711931
259;Netherlands;WP Q10 / Eneco Luchterduinen;43;129;Production;2015;22340,70219;15,90387943; ;0,210316646;0,002099943
260;Netherlands;ZeeEnergie / Gemini II;75;300;Production;2017;57835,07239;33,36212096; ;0,30925421;0,004574523
261;Netherlands;Buitengaats / Gemini I;75;300;Production;2017;56043,86009;34,2633775; ;0,292840403;0,004698449
262;Netherlands;Borssele Kavel I;47;376;Production;2020;27336,44703;64,8612001; ;0,405172288;0,008439471
