upload_date;country_name;country_code;year;supra_reg;fishing_tech;vessel_length;geo_indicator;gear;fishery;activity;cluster_name;fs_name;variable_group;variable_name;variable_code;value;unit;fromtable;framework;template_name
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Consumption of fixed capital;totdepcost;1.485.803.486;euro;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Consumption of fixed capital;totdepcost;1290586.22;euro;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Consumption of fixed capital;totdepcost;1.545.331.476;euro;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Other variable costs;totvarcost;6.666.587.263;euro;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Other variable costs;totvarcost;1.137.765.648;euro;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Other variable costs;totvarcost;9.160.333.057;euro;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Other non-variable costs;totnovarcost;1.089.095.546;euro;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Other non-variable costs;totnovarcost;1460664.34;euro;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Other non-variable costs;totnovarcost;1.279.438.947;euro;map_fs;map;map_fs
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Lease/rental payments for quota;totrightscost;1.216.706.546;euro;map_fs;map;map_fs
26-02-2021;Denmark;DNK;2019;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Lease/rental payments for quota;totrightscost;3.931.858.178;euro;map_fs;map;map_fs
27-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Expenditure;Lease/rental payments for quota;totrightscost;3.433.409.909;euro;map_fs;map;map_fs
