country_code year quarter vessel_length fishing_tech gear_type target_assemblage mesh_size_range metier supra_region sub_region eez_indicator geo_indicator specon_tech deep rectangle_type rectangle_lat rectangle_lon c_square totfishdays confidential
27 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.25 -3.5 NA 16 N
28 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.75 -4.5 NA 19.5 N
29 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 53.75 -3.5 NA 6 N
30 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.25 -4.5 NA 22 N
31 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.75 -4.5 NA 8 N
32 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.E NA NGI NK NA 05*1 50.25 -3.5 NA 202 N
33 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.E NA NGI NK NA 05*1 50.25 -2.5 NA 3 N
34 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.E NA NGI NK NA 05*1 50.75 -3.5 NA 28 N
35 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.E NA NGI NK NA 05*1 50.75 -2.5 NA 26 N
36 ENG 2018 4 VL1218 DRB DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.G NA NGI NK NA 05*1 51.75 -5.5 NA 1 N
37 ENG 2018 4 VL1218 DTS DRB MOL NA DRB_MOL_>=0_0_0 NAO 27.7.D NA NGI NK NA 05*1 50.75 0.5 NA 5 N
38 ENG 2018 4 VL1218 DTS DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.A NA NGI NK NA 05*1 54.25 -4.5 NA 2 N
39 ENG 2018 4 VL1218 DTS DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.E NA NGI NK NA 05*1 50.25 -3.5 NA 5 N
40 ENG 2018 4 VL1218 DTS DRB MOL NA DRB_MOL_0_0_0 NAO 27.7.E NA NGI NK NA 05*1 50.75 -3.5 NA 21 N
