upload_date;country_name;country_code;year;supra_reg;fishing_tech;vessel_length;geo_indicator;gear;fishery;activity;cluster_name;fs_name;variable_group;variable_name;variable_code;value;unit;species_name;species_code;sub_reg;fromtable;framework;template_name
29-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Live weight of landings;totwghtlandg;24627007;kg;Blue mussel;MUS;27.4.b;map_fsfao;map;map_fsfao
29-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Live weight of landings;totwghtlandg;55459;kg;European flat oyster;OYF;27.4.b;map_fsfao;map;map_fsfao
29-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Live weight of landings;totwghtlandg;14618;kg;Pacific cupped oyster;OYG;27.4.b;map_fsfao;map;map_fsfao
29-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Live weight of landings;totwghtlandg;4;kg;Sticklebacks;SKB;27.4.b;map_fsfao;map;map_fsfao
29-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Live weight of landings;totwghtlandg;67936;kg;European sprat;SPR;27.4.b;map_fsfao;map;map_fsfao
29-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Live weight of landings;totwghtlandg;1223150;kg;Red starfish;STH;27.4.b;map_fsfao;map;map_fsfao
29-03-2023;Denmark;DNK;2021;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Live weight of landings;totwghtlandg;1408760;kg;Solid surf clam;ULO;27.4.b;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Value of landings;totvallandg;93.311.153;euro;Sandeels(=Sandlances) nei;SAN;27.3.a;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Value of landings;totvallandg;1.499.826;euro;European sprat;SPR;27.3.a;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Value of landings;totvallandg;41.685.224;euro;Blue mussel;MUS;27.3.c.22;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Value of landings;totvallandg;1.382.688.149;euro;Common edible cockle;COC;27.4.b;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Value of landings;totvallandg;43.948.378;euro;European eel;ELE;27.4.b;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Value of landings;totvallandg;380.331.893;euro;European lobster;LBE;27.4.b;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Value of landings;totvallandg;4.059.371.495;euro;Blue mussel;MUS;27.4.b;map_fsfao;map;map_fsfao
22-03-2022;Denmark;DNK;2020;NAO;DRB;VL1218;NGI;;;;;DNK NAO DRB1218 NGI;Landings;Value of landings;totvallandg;4.235.555.794;euro;European flat oyster;OYF;27.4.b;map_fsfao;map;map_fsfao
